DATE(GAME)	OPP	PA	AB	RBI	R	H	2B	3B	HR	TB	SO	SB	CS	AVG
05/21(78)	参7-ELEVEn	4	4	0	0	1	0	0	0	1	1	0	1	0.169
05/20(80)	参7-ELEVEn	5	5	0	1	0	0	0	0	0	0	0	0	0.164
05/14(71)	碔ü	3	3	0	0	0	0	0	0	0	0	0	0	0.176
05/12(67)	碔ü	4	4	0	0	1	0	0	0	1	1	1	0	0.185
05/10(64)	参7-ELEVEn	4	4	0	0	0	0	0	0	0	2	0	0	0.180
05/05(58)	碔ü	4	3	0	0	0	0	0	0	0	2	0	1	0.193
05/03(54)	Lamigo	5	3	0	1	0	0	0	0	0	0	1	0	0.204
04/30(52)	参7-ELEVEn	4	4	0	1	0	0	0	0	0	0	0	0	0.216
04/29(50)	参7-ELEVEn	5	2	0	3	2	0	0	0	2	0	1	0	0.234
04/28(48)	参7-ELEVEn	2	2	0	0	0	0	0	0	0	0	0	0	0.200
04/25(43)	碔ü	6	5	0	0	1	0	0	0	1	1	1	0	0.209
04/23(41)	Lamigo	4	3	1	2	2	0	0	0	2	0	0	0	0.211
04/23(37)	Lamigo	0	0	0	0	0	0	0	0	0	0	0	0	0.171
04/22(39)	Lamigo	3	2	0	0	0	0	0	0	0	0	0	0	0.171
04/19(34)	参7-ELEVEn	3	3	0	0	0	0	0	0	0	1	0	0	0.182
04/14(27)	Lamigo	3	3	0	0	0	0	0	0	0	0	0	0	0.200
04/11(24)	参7-ELEVEn	4	4	2	1	2	1	0	0	3	0	0	0	0.222
04/09(23)	碔ü	3	2	0	1	1	0	0	0	1	0	0	0	0.174
04/07(19)	碔ü	4	4	0	0	1	1	0	0	2	0	0	0	0.143
04/05(15)	Lamigo	5	5	0	0	1	0	0	0	1	0	0	0	0.118
04/02(13)	参7-ELEVEn	4	4	0	0	0	0	0	0	0	2	0	0	0.083
04/01(11)	参7-ELEVEn	3	2	0	0	0	0	0	0	0	1	1	0	0.125
03/29(5)	碔ü	4	4	1	1	1	1	0	0	2	0	0	0	0.167
03/26(3)	参7-ELEVEn	0	0	0	0	0	0	0	0	0	0	0	0	0.000
03/25(1)	碔ü	3	2	1	0	0	0	0	0	0	0	0	0	0.000
