DATE	GAME	OPP	PA	AB	RBI	R	H	2B	3B	HR	TB	SO	SB	CS	AVG
05/21	82	統一7-ELEVEn	4	2	0	0	0	0	0	0	0	1	0	0	0.297
05/21	78	統一7-ELEVEn	4	3	1	0	2	1	0	0	3	0	0	0	0.301
05/20	80	統一7-ELEVEn	5	4	1	0	1	0	0	0	1	1	1	0	0.293
05/18	75	Lamigo	5	5	0	1	2	0	0	0	2	2	0	0	0.294
05/14	71	富邦	4	3	0	0	0	0	0	0	0	0	0	0	0.290
05/13	69	富邦	4	3	0	0	0	0	0	0	0	1	0	0	0.297
05/12	67	富邦	5	5	1	2	2	0	0	0	2	1	1	0	0.304
05/11	66	統一7-ELEVEn	6	4	1	0	0	0	0	0	0	0	0	0	0.300
05/10	64	統一7-ELEVEn	5	4	0	1	2	0	0	0	2	0	0	0	0.310
05/06	60	富邦	3	2	1	2	2	0	0	0	2	0	0	0	0.304
05/05	58	富邦	4	4	1	1	3	1	0	0	4	0	0	0	0.291
05/04	56	Lamigo	4	4	0	0	0	0	0	0	0	1	0	0	0.274
05/03	54	Lamigo	5	5	0	1	0	0	0	0	0	2	0	0	0.284
04/30	52	統一7-ELEVEn	5	4	0	1	2	0	0	0	2	1	0	0	0.299
04/29	50	統一7-ELEVEn	6	6	1	0	2	1	0	0	3	1	0	0	0.290
04/28	48	統一7-ELEVEn	5	4	1	2	2	0	0	0	2	0	0	0	0.287
04/25	43	富邦	6	6	0	0	0	0	0	0	0	0	0	0	0.277
04/23	41	Lamigo	5	4	0	1	0	0	0	0	0	1	0	0	0.299
04/23	37	Lamigo	0	0	0	0	0	0	0	0	0	0	0	0	0.315
04/22	39	Lamigo	4	4	1	1	1	0	0	1	4	0	0	0	0.315
04/20	36	統一7-ELEVEn	5	4	1	1	1	1	0	0	2	1	0	1	0.319
04/19	34	統一7-ELEVEn	5	4	1	0	1	0	0	0	1	1	0	0	0.323
04/15	29	Lamigo	5	3	0	1	0	0	0	0	0	1	0	0	0.328
04/14	27	Lamigo	4	4	0	1	2	0	0	0	2	1	1	1	0.345
04/13	26	統一7-ELEVEn	4	4	0	0	1	0	0	0	1	1	0	0	0.333
04/11	24	統一7-ELEVEn	4	3	0	1	1	0	0	0	1	0	0	0	0.340
04/09	23	富邦	5	5	0	0	2	0	0	0	2	1	0	0	0.340
04/08	21	富邦	4	3	0	1	0	0	0	0	0	1	0	0	0.333
04/07	19	富邦	5	3	0	1	1	0	0	0	1	0	1	0	0.359
04/06	17	Lamigo	4	4	0	0	1	0	0	0	1	1	1	0	0.361
04/05	15	Lamigo	5	4	0	0	2	1	0	0	3	2	0	0	0.375
04/02	13	統一7-ELEVEn	4	4	1	0	1	0	0	0	1	0	0	0	0.357
04/02	9	統一7-ELEVEn	5	4	1	0	2	0	0	0	2	0	0	0	0.375
04/01	11	統一7-ELEVEn	4	4	1	1	1	0	0	1	4	1	0	0	0.350
03/30	7	富邦	5	5	1	1	2	0	0	0	2	0	0	0	0.375
03/29	5	富邦	4	4	0	0	3	0	0	0	3	0	0	0	0.364
03/26	3	統一7-ELEVEn	4	4	0	0	0	0	0	0	0	0	0	0	0.143
03/25	1	富邦	4	3	0	1	1	0	0	0	1	0	0	0	0.333
